Epoch,Train_Loss,Val_Loss,LR
0,55.415303,6.183773,3.00e-04
1,3.478671,3.401050,3.00e-04
2,2.471360,2.677378,3.00e-04
3,2.738539,2.392709,3.00e-04
4,2.489686,2.097348,3.00e-04
5,2.037574,1.811325,3.00e-04
6,2.076842,2.220193,3.00e-04
7,1.773520,2.365956,3.00e-04
8,2.365726,3.012043,3.00e-04
9,1.880674,1.596126,3.00e-04
10,1.656109,1.450501,3.00e-04
11,1.747394,1.303955,3.00e-04
12,1.837289,1.400808,3.00e-04
13,1.492188,1.890821,3.00e-04
14,1.432867,1.321550,3.00e-04
15,2.068153,1.411733,3.00e-04
16,1.650910,1.239576,3.00e-04
17,1.536050,1.491012,3.00e-04
18,1.746899,1.892613,3.00e-04
19,1.420886,1.534517,3.00e-04
20,1.485426,1.265239,3.00e-04
21,1.679276,2.338098,3.00e-04
22,1.414525,1.055723,3.00e-04
23,1.565189,1.004829,3.00e-04
24,1.480221,1.331375,3.00e-04
25,1.267727,1.722583,3.00e-04
26,1.320021,1.813169,3.00e-04
27,1.564369,2.017046,3.00e-04
28,1.257482,0.977441,3.00e-04
29,1.338125,1.153640,3.00e-04
30,1.548443,1.297061,3.00e-04
31,1.362167,1.000872,3.00e-04
32,1.413648,1.153044,3.00e-04
33,1.256127,1.192927,3.00e-04
34,1.263779,0.985351,3.00e-04
35,1.445417,1.171156,3.00e-04
36,1.208281,2.441803,3.00e-04
37,1.312740,1.155740,3.00e-04
38,1.216489,1.205080,3.00e-04
39,1.239438,1.458862,1.50e-04
40,1.010303,1.002013,1.50e-04
41,1.025815,1.136280,1.50e-04
42,0.968045,0.846586,1.50e-04
43,0.983971,0.938977,1.50e-04
44,0.959895,0.955738,1.50e-04
45,0.926559,1.083679,1.50e-04
46,1.004995,1.006767,1.50e-04
47,0.946045,0.858502,1.50e-04
48,1.002142,1.084395,1.50e-04
49,0.955166,1.046219,1.50e-04
50,0.978167,0.965402,1.50e-04
51,0.974348,0.844149,1.50e-04
52,0.917708,1.005038,1.50e-04
53,0.979432,0.976292,1.50e-04
54,0.924430,0.822583,1.50e-04
55,0.927903,0.782042,1.50e-04
56,0.912496,1.023247,1.50e-04
57,0.938164,0.900803,1.50e-04
58,0.942877,0.986155,1.50e-04
59,0.929468,0.906290,1.50e-04
60,0.908079,0.928410,1.50e-04
61,0.949996,0.861572,1.50e-04
62,0.997339,0.978438,1.50e-04
63,0.889965,0.971442,1.50e-04
64,0.907900,1.005494,1.50e-04
65,0.928367,0.950710,1.50e-04
66,0.887931,0.733160,1.50e-04
67,0.884120,1.087119,1.50e-04
68,0.916247,0.908599,1.50e-04
69,0.959410,0.791937,1.50e-04
70,0.954964,0.769860,1.50e-04
71,0.858003,1.380432,1.50e-04
72,1.004913,0.921960,1.50e-04
73,0.884377,0.970486,1.50e-04
74,0.887348,0.888034,1.50e-04
75,0.924518,0.908853,1.50e-04
76,0.990213,0.769594,1.50e-04
77,0.888533,0.845265,7.50e-05
78,0.834091,0.846951,7.50e-05
79,0.860183,0.844344,7.50e-05
80,0.818487,0.787238,7.50e-05
81,0.845381,0.879451,7.50e-05
82,0.818442,0.779491,7.50e-05
83,0.793995,0.865642,7.50e-05
84,0.845867,0.789176,7.50e-05
85,0.814004,0.799111,7.50e-05
86,0.801087,0.780131,7.50e-05
87,0.765381,0.910988,7.50e-05
88,0.827923,0.800802,7.50e-05
89,0.833582,0.767197,7.50e-05
90,0.799889,0.857668,3.75e-05
91,0.767287,0.803392,3.75e-05
92,0.751295,0.812916,3.75e-05
93,0.779174,0.752379,3.75e-05
94,0.767190,0.854440,3.75e-05
95,0.745865,0.750520,3.75e-05
96,0.752797,0.755983,3.75e-05
97,0.777014,0.789240,3.75e-05
98,0.727297,0.737879,3.75e-05
99,0.750076,0.761173,3.75e-05
100,0.759730,0.860498,3.75e-05
101,0.736264,0.764430,3.75e-05
102,0.763519,0.773076,3.75e-05
103,0.743532,0.741373,1.87e-05
104,0.712199,0.738118,1.87e-05
105,0.719383,0.705690,1.87e-05
106,0.738479,0.795489,1.87e-05
107,0.723203,0.768595,1.87e-05
108,0.697935,0.794714,1.87e-05
109,0.745180,0.837580,1.87e-05
110,0.718914,0.718517,1.87e-05
111,0.729228,0.680097,1.87e-05
112,0.721015,0.749789,1.87e-05
113,0.727981,0.779685,1.87e-05
114,0.711471,0.783084,1.87e-05
115,0.732365,0.705402,1.87e-05
116,0.733478,0.790498,1.87e-05
117,0.742550,0.785636,1.87e-05
118,0.728736,0.789396,1.87e-05
119,0.719754,0.741274,1.87e-05
120,0.715907,0.772143,1.87e-05
121,0.730340,0.780940,1.87e-05
122,0.712306,0.739890,9.37e-06
123,0.720589,0.782914,9.37e-06
124,0.732502,0.726367,9.37e-06
125,0.712947,0.723643,9.37e-06
126,0.723632,0.768837,9.37e-06
127,0.709265,0.818070,9.37e-06
128,0.706217,0.805185,9.37e-06
129,0.721105,0.712468,9.37e-06
130,0.697319,0.708675,9.37e-06
131,0.711161,0.769361,9.37e-06
132,0.721474,0.764062,9.37e-06
133,0.704992,0.765218,9.37e-06
134,0.727931,0.722589,9.37e-06
135,0.732299,0.735686,4.69e-06
136,0.720830,0.735277,4.69e-06
137,0.706675,0.758798,4.69e-06
138,0.709810,0.774503,4.69e-06
139,0.716004,0.795286,4.69e-06
140,0.708807,0.758614,4.69e-06
141,0.708265,0.804717,4.69e-06
142,0.709101,0.793745,4.69e-06
143,0.701362,0.779990,4.69e-06
144,0.733374,0.769365,4.69e-06
